sessionDefaultChannelGroup,sessionSourceMedium,sessions,activeUsers,engagementRate,averageSessionDuration,bounceRate
"Organic Search","google / organic","271","183","0.94464944649446492","192.28621886715868","0.055350553505535055"
"Paid Social","fb / paid","243","242","0.86008230452674894","18.226804259259261","0.13991769547325103"
"Direct","(direct) / (none)","210","137","0.87142857142857144","626.26245306666658","0.12857142857142856"
"Organic Social","m.facebook.com / referral","38","37","1","62.605342131578936","0"
"Organic Social","ig / social","28","27","0.9285714285714286","41.888179964285712","0.071428571428571425"
"Organic Social","lm.facebook.com / referral","24","20","0.95833333333333337","40.583351875","0.041666666666666664"
"Organic Shopping","checkout.stripe.com / referral","11","3","0.63636363636363635","284.75230118181821","0.36363636363636365"
"Paid Search","google / cpc","8","8","1","0.726153125","0"
"Organic Social","adsmanager.facebook.com / referral","5","1","0.8","1251.2957254","0.2"
"Organic Social","l.facebook.com / referral","3","3","1","93.247141333333332","0"
"Referral","beds24.com / referral","3","3","1","107.43344966666666","0"
"Unassigned","chatgpt.com / (not set)","3","3","1","87.047732","0"
"Organic Social","l.instagram.com / referral","2","2","1","6.474458","0"
"Referral","dzieciochatki.pl / referral","2","2","1","69.3492985","0"
"Organic Search","ecosia.org / organic","1","1","1","14.051132","0"
"Organic Social","facebook.com / referral","1","1","1","22.433581","0"
"Paid Social","ig / paid","1","1","1","0.503687","0"
"Referral","jariblog.online / referral","1","1","0","0","1"
"Unassigned","(not set)","1","1","0","4.853768","1"
