sessionDefaultChannelGroup,sessionSourceMedium,sessions,activeUsers,engagementRate,averageSessionDuration,bounceRate
"Organic Search","google / organic","269","184","0.94423791821561343","192.90738923420074","0.055762081784386616"
"Direct","(direct) / (none)","212","140","0.86792452830188682","620.61066861320751","0.13207547169811321"
"Paid Social","fb / paid","82","82","0.81707317073170727","9.7968633414634141","0.18292682926829268"
"Organic Social","m.facebook.com / referral","37","36","1","63.552485270270267","0"
"Organic Social","ig / social","28","27","0.9285714285714286","41.888179964285712","0.071428571428571425"
"Organic Social","lm.facebook.com / referral","24","20","0.95833333333333337","40.583351875","0.041666666666666664"
"Organic Shopping","checkout.stripe.com / referral","11","3","0.63636363636363635","284.75230118181821","0.36363636363636365"
"Paid Search","google / cpc","7","7","1","0.65696985714285716","0"
"Organic Social","l.facebook.com / referral","3","3","1","93.247141333333332","0"
"Referral","beds24.com / referral","3","3","1","107.43344966666666","0"
"Unassigned","chatgpt.com / (not set)","3","3","1","87.047732","0"
"Organic Social","adsmanager.facebook.com / referral","2","1","1","886.88902899999994","0"
"Organic Social","l.instagram.com / referral","2","2","1","6.474458","0"
"Organic Search","ecosia.org / organic","1","1","1","14.051132","0"
"Organic Social","facebook.com / referral","1","1","1","22.433581","0"
"Referral","dzieciochatki.pl / referral","1","1","1","63.527857","0"
"Referral","jariblog.online / referral","1","1","0","0","1"
"Unassigned","(not set)","1","1","0","4.853768","1"
